sourceName,date,USD,EUR,number
PARTNER_REUTERS_BIDASK_24H,2020-12-31T01:00:00.000+0000,USD,EUR,0.8125457057
PARTNER_REUTERS_BIDASK_24H,2021-01-01T01:00:00.000+0000,USD,EUR,0.8185985593
PARTNER_REUTERS_BIDASK_24H,2021-01-02T01:00:00.000+0000,USD,EUR,0.8236553826
PARTNER_REUTERS_BIDASK_24H,2021-01-03T01:00:00.000+0000,USD,EUR,0.8236553826
PARTNER_REUTERS_BIDASK_24H,2021-01-04T01:00:00.000+0000,USD,EUR,0.8167265599
PARTNER_REUTERS_BIDASK_24H,2021-01-05T01:00:00.000+0000,USD,EUR,0.8159268930
PARTNER_REUTERS_BIDASK_24H,2021-01-06T01:00:00.000+0000,USD,EUR,0.8131403480
PARTNER_REUTERS_BIDASK_24H,2021-01-07T01:00:00.000+0000,USD,EUR,0.8106355383
PARTNER_REUTERS_BIDASK_24H,2021-01-08T01:00:00.000+0000,USD,EUR,0.8155941603
PARTNER_REUTERS_BIDASK_24H,2021-01-09T01:00:00.000+0000,USD,EUR,0.8183306056
PARTNER_REUTERS_BIDASK_24H,2021-01-10T01:00:00.000+0000,USD,EUR,0.8183306056
PARTNER_REUTERS_BIDASK_24H,2021-01-11T01:00:00.000+0000,USD,EUR,0.8204118467
PARTNER_REUTERS_BIDASK_24H,2021-01-12T01:00:00.000+0000,USD,EUR,0.8225713581
PARTNER_REUTERS_BIDASK_24H,2021-01-13T01:00:00.000+0000,USD,EUR,0.8187326019
PARTNER_REUTERS_BIDASK_24H,2021-01-14T01:00:00.000+0000,USD,EUR,0.8218952905
PARTNER_REUTERS_BIDASK_24H,2021-01-15T01:00:00.000+0000,USD,EUR,0.8227743953
PARTNER_REUTERS_BIDASK_24H,2021-01-16T01:00:00.000+0000,USD,EUR,0.8276775368
PARTNER_REUTERS_BIDASK_24H,2021-01-17T01:00:00.000+0000,USD,EUR,0.8276775368
PARTNER_REUTERS_BIDASK_24H,2021-01-18T01:00:00.000+0000,USD,EUR,0.8278831029
PARTNER_REUTERS_BIDASK_24H,2021-01-19T01:00:00.000+0000,USD,EUR,0.8271982794
PARTNER_REUTERS_BIDASK_24H,2021-01-20T01:00:00.000+0000,USD,EUR,0.8235875474
PARTNER_REUTERS_BIDASK_24H,2021-01-21T01:00:00.000+0000,USD,EUR,0.8254911672
PARTNER_REUTERS_BIDASK_24H,2021-01-22T01:00:00.000+0000,USD,EUR,0.8215576733
PARTNER_REUTERS_BIDASK_24H,2021-01-23T01:00:00.000+0000,USD,EUR,0.8217602104
PARTNER_REUTERS_BIDASK_24H,2021-01-24T01:00:00.000+0000,USD,EUR,0.8217602104
PARTNER_REUTERS_BIDASK_24H,2021-01-25T01:00:00.000+0000,USD,EUR,0.8214227041
PARTNER_REUTERS_BIDASK_24H,2021-01-26T01:00:00.000+0000,USD,EUR,0.8239947264
PARTNER_REUTERS_BIDASK_24H,2021-01-27T01:00:00.000+0000,USD,EUR,0.8217602104
PARTNER_REUTERS_BIDASK_24H,2021-01-28T01:00:00.000+0000,USD,EUR,0.8266512358
PARTNER_REUTERS_BIDASK_24H,2021-01-29T01:00:00.000+0000,USD,EUR,0.8255593164
PARTNER_REUTERS_BIDASK_24H,2021-01-30T01:00:00.000+0000,USD,EUR,0.8239268353
PARTNER_REUTERS_BIDASK_24H,2021-01-31T01:00:00.000+0000,USD,EUR,0.8239268353
PARTNER_REUTERS_BIDASK_24H,2021-02-01T01:00:00.000+0000,USD,EUR,0.8246062505
PARTNER_REUTERS_BIDASK_24H,2021-02-02T01:00:00.000+0000,USD,EUR,0.8287063893
PARTNER_REUTERS_BIDASK_24H,2021-02-03T01:00:00.000+0000,USD,EUR,0.8304268394
PARTNER_REUTERS_BIDASK_24H,2021-02-04T01:00:00.000+0000,USD,EUR,0.8306337736
