sourceName,stopDate,USD,EUR,number

PARTNER_REUTERS_BIDASK_24H,2021-03-31T01:00:00.000+0000,USD,EUR,0.8529512112

PARTNER_REUTERS_BIDASK_24H,2021-04-01T01:00:00.000+0000,USD,EUR,0.8527330093

PARTNER_REUTERS_BIDASK_24H,2021-04-02T01:00:00.000+0000,USD,EUR,0.8493290301

PARTNER_REUTERS_BIDASK_24H,2021-04-03T01:00:00.000+0000,USD,EUR,0.8499065103

PARTNER_REUTERS_BIDASK_24H,2021-04-04T01:00:00.000+0000,USD,EUR,0.8499065103

PARTNER_REUTERS_BIDASK_24H,2021-04-05T01:00:00.000+0000,USD,EUR,0.8497620666

PARTNER_REUTERS_BIDASK_24H,2021-04-06T01:00:00.000+0000,USD,EUR,0.8464533604

PARTNER_REUTERS_BIDASK_24H,2021-04-07T01:00:00.000+0000,USD,EUR,0.8422471153

PARTNER_REUTERS_BIDASK_24H,2021-04-08T01:00:00.000+0000,USD,EUR,0.8423180593

PARTNER_REUTERS_BIDASK_24H,2021-04-09T01:00:00.000+0000,USD,EUR,0.8391373668

PARTNER_REUTERS_BIDASK_24H,2021-04-10T01:00:00.000+0000,USD,EUR,0.8403361345

PARTNER_REUTERS_BIDASK_24H,2021-04-12T01:00:00.000+0000,USD,EUR,0.8401243384
